polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R01,Palermo,R19,Federico Lacroze,LOC015082,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019617,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC004661,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019614,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC003664,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019612,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019615,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019871,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019610,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC000214,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019611,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC009046,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC004368,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019607,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015098,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC009464,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC003912,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC005065,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC010797,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC020424,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC005453,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC020422,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC009127,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019608,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC009081,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC004638,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC010413,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019787,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019786,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015099,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019782,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC000501,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019785,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC008938,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019873,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015083,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019872,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC001737,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC015097,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019781,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC001391,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC019783,Palermo,14.0
R01,Palermo,R19,Federico Lacroze,LOC004931,Palermo,14.0
R01,Palermo,Z43,Colegiales,LOC005111,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC000168,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC015493,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC006368,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC015423,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC015424,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC015422,Colegiales,13.0
R01,Palermo,Z43,Colegiales,LOC008905,Colegiales,13.0
