polo_id,nombre_polo,soporte_clase,soporte_detalle,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha,forma_declarada,rama_calibracion,calibracion_contaminada
PGR_P048,P048 · Colegiales,polo del borrador,polo P048 de borrador_polos_v3,172,1.9440562020213397,188.22022651243438,941.0507375282308,,0.21511627906976744,0.31976744186046513,0.43023255813953487,0.6627906976744186,0.8313953488372093,1.4965839013725102,50.84,nucleo compacto,B,si
PGR_P076,P076 · Recoleta,polo del borrador,polo P076 de borrador_polos_v3,154,2.668240659451123,131.86493519094134,872.4341125809855,,0.38311688311688313,0.5454545454545454,0.6168831168831169,0.8506493506493507,0.961038961038961,2.4009795006610446,29.18,corredor,B,si
PGR_P037,P037 · Villa Del Parque,polo del borrador,polo P037 de borrador_polos_v3,135,1.2813354482097803,238.18639994796,731.0243793681211,,0.1259259259259259,0.2222222222222222,0.34814814814814815,0.5703703703703704,0.6962962962962963,1.185821389986373,40.81,nucleo compacto,B,si
PGR_P004,P004 · Villa Lugano,polo del borrador,polo P004 de borrador_polos_v3,132,1.2609100914800535,520.3674959494386,1625.094111277925,,0.09090909090909091,0.1590909090909091,0.26515151515151514,0.36363636363636365,0.4393939393939394,1.0305078076509926,144.02,nucleo compacto,B,si
PGR_P101+P099,P101+P099 · Balvanera,polo del borrador,polo P101+P099 de borrador_polos_v3,175,2.8626678076229073,151.3380002584167,1023.2482174340654,,0.22857142857142856,0.35428571428571426,0.49714285714285716,0.7942857142857143,0.9542857142857143,2.52082712279496,36.93,corredor,B,si
PGR_P052,P052 · Floresta,polo del borrador,polo P052 de borrador_polos_v3,134,2.0534088233520538,149.9195839353205,764.5463206306157,,0.21641791044776118,0.373134328358209,0.5,0.7985074626865671,0.917910447761194,1.8056291777012459,36.69,corredor,B,si
PGR_P104,P104 · Recoleta,polo del borrador,polo P104 de borrador_polos_v3,141,2.1674393783112493,133.29687466296093,657.6465973219015,,0.2907801418439716,0.46099290780141844,0.6028368794326241,0.8794326241134752,0.9858156028368794,1.9730398263364217,24.85,corredor,B,si
PGR_P084,P084 · Balvanera,polo del borrador,polo P084 de borrador_polos_v3,127,5.9030387203546155,84.3293448358336,1152.4074494679521,,0.48031496062992124,0.7795275590551181,0.8582677165354331,1.0,1.0,4.472700729423791,27.12,corredor,B,si
PGR_P017,P017 · Liniers,polo del borrador,polo P017 de borrador_polos_v3,105,1.6164458340169467,327.0415174324217,1291.1871721618948,,0.13333333333333333,0.20952380952380953,0.21904761904761905,0.37142857142857144,0.5142857142857142,1.7093729468163896,69.8,nucleo compacto,B,si
PGR_P057,P057 · Caballito,polo del borrador,polo P057 de borrador_polos_v3,97,1.7517263031332864,153.1930831260616,641.4385848759161,,0.15463917525773196,0.3402061855670103,0.422680412371134,0.7731958762886598,0.9587628865979382,1.692127052995047,26.2,nucleo compacto,B,si
